customer_id,internal_id,obligor_name,obligor_internal_risk_rating,tin,country,industry_code,industry_code_type,internal_credit_facility_id,origination_date,maturity_date,credit_facility_type,credit_facility_purpose,committed_exposure_global,utilized_exposure_global,credit_facility_currency,probability_of_default,loss_given_default,exposure_at_default,non_accrual_date,days_principal_or_interest_past_due,participation_flag,participation_interest,net_income_current,total_assets_current,long_term_debt,current_assets_current,current_liabilities_current,guarantor_flag,guarantor_internal_id,guarantor_name,guarantor_tin,guarantor_internal_risk_rating,entity_internal_id,entity_name,entity_internal_risk_rating,date_of_financials,date_of_last_audit,cash_marketable_securities,accounts_receivable_current,inventory_current,fixed_assets,total_assets_prior_year,current_liabilities_prior_year,short_term_debt,capital_expenditures,asc_326_20,special_purpose_entity_flag,other_credit_facility_type_description,original_internal_id,stock_exchange,ticker_symbol,cusip,original_internal_credit_facility_id,line_reported_on_fr_y_9c,line_of_business,cumulative_charge_offs,days_principal_or_interest_past_due.1,lien_position,security_type,interest_rate_variability,interest_rate_index,interest_rate_spread,interest_rate_ceiling,interest_rate_floor,interest_income_tax_status,guarantor_internal_risk_rating.1,entity_internal_risk_rating.1,net_sales_current,net_sales_prior_year,operating_income,depreciation_amortization,interest_expense,accounts_receivable_prior_year,inventory_prior_year,current_assets_prior_year,tangible_assets,total_assets_current.1,accounts_payable_current,accounts_payable_prior_year,current_maturities_of_long_term_debt,long_term_debt.1,minority_interest,total_liabilities,retained_earnings,lower_of_cost_or_market_flag,snc_internal_credit_id,renewal_date,prepayment_penalty_flag,entity_industry_code,leveraged_loan_flag,disposition_flag,disposition_schedule_shift,syndicated_loan_flag,target_hold,pcd_noncredit_discount,committed_exposure_global_par_value,utilized_exposure_global_par_value,committed_exposure_global_fair_value,utilized_exposure_global_fair_value,obligor_lei,primary_source_of_repayment_lei
CUSTF5GXN8,OBLXZPR1N,ABC Corp,CCC,12-3456789,US,621111,SIC,FAC7RA4QZ,2004-10-18,2032-01-15,17,4,26105666,41598813,INR,0.119,0.8501,14980327.0,2024-01-13,164.0,5,0.0755,6794997,823104761,45477105.0,469084524,116882259,1,GRTURH67B,Individual,98-7654321,C,ENTZR628C,Individual,C,2004-04-14,2015-10-19,89383258,39095376,34919607,184493816,281042467,30260422,10294879,13818620,9839293,2,Term Loan,VAL1896,Generic Text,Generic Text,662678,VAL8980,9,Generic Text,439772,122855,3,4,4,6,4.4162,2.6466,9.5774,1,Generic Text,Generic Text,564272,641346,102325,471608,280880,986083,396391,252789,340656,601492,562133,689667,97767,666509,119375,243561,291796,2,VAL8756,2023-12-31,1,229926,2,1,Generic Text,2,3.096,505226,181940,402078,506827,483292,OLXYASIX4L5E3DR50VQD,ETMQNVRH6VCS0RZBRL3I
"CUST,001","OBL
001",ABC Corp,,12345678X,XX,NAIC,SIC,"FAC,123",invalid-date,invalid-date,bad,45,XX,??,US$,high,LGD,,invalid-date,,8,all,loss,huge,,350045657,67522859,4,"GRT,00X",Individual,NA#,XX,"ENT,00X",Entity LLC,C,2007-11-03,2019-11-28,144773866,21106834,40509931,188115344,408137710,135801329,48155241,13703187,3660490,2,Term Loan,VAL7445,Generic Text,Generic Text,281402,VAL9586,4,Generic Text,351486,468481,4,4,1,6,4.7275,3.917,6.1823,1,Generic Text,Generic Text,512834,438882,604719,920301,822786,535641,311891,318515,689308,422735,331760,279370,165968,225485,685631,790024,247265,3,VAL6393,2020-01-01,1,723780,2,6,Generic Text,3,2.153,79576,301658,176711,765266,467166,6WZSZKJDHPXPTB2NGJVI,HY6KD3RNEIAE6YABCNQ6
CUSTK739RZ,OBL3S0NNI,XYZ Inc,BBB,12-3456789,ZZ,999999,NAICS,FAC9GKMWV,2024-10-09,2026-07-11,2,11,999999999,23506400,INR,41.194833566781774,28.83270762042525,19643635.0,1900-01-01,157.0,1,0.163,-99999999,370454663,67360017.0,455189060,68510649,3,GRTPCCL2N,Individual,98-7654321,BB,ENTTXEGSW,Individual,BB,2020-02-26,1900-01-01,2540585532,18200598,1085096016,64655474,723630327,134735538,22084491,14402428,8716401,1,Term Loan,VAL6435,Generic Text,Generic Text,852757,VAL9669,5,Generic Text,161081,849595,5,5,0,2,3.3078,5.7909,3.8374,2,Generic Text,Generic Text,14602,1172,937129,97295,155533,179410,212738,439915,247293,376169,327658,552601,239591,409018,520738,359527,509777,2,VAL9336,2023-12-31,3,879285,1,6,Generic Text,1,2.2495,75820,145319,180361,636222,944247,5WP85G0C7NSYRPK6V1B1,ROPGQGF4VSDW1E40M1RJ
CUSTIM14JG,OBLU2Z2FW,Individual,AAA,12-3456789,US,999999,SIC,FAC7MOXCI,2014-08-14,2030-07-18,1,16,6572075,36338107,INR,0.0529,0.6519,18670239.0,2015-08-21,92.0,2,0.994,3834820,INVALID,7643046.0,282316817,16057735,3,GRTKT8C8H,Guarantee Corp,98-7654321,AAA,ENTP3BYED,Entity LLC,C,2006-09-21,2002-03-16,41949463,46323576,36256998,109768764,874138065,192506552,24572945,2516835,5284128,bad,Term Loan,VAL8985,Generic Text,Generic Text,265214,VAL7704,4,Generic Text,107536,157504,2,3,6,3,8.2917,0.2052,0.2387,2,Generic Text,Generic Text,415024,373146,691949,704789,365522,653821,966513,842919,956793,294517,293170,819234,782865,944203,588615,39256,767779,1,VAL1840,2020-01-01,2,323643,2,2,Generic Text,2,7.6354,463688,4715,70256,587066,3468,4A08WJMSDJJC61MA4BHG,8EML5UQ0NAC2RLAKZIYM
"CUST,001","OBL
001",ABC Corp,,12345678X,XX,NAIC,GICS,"FAC,123",invalid-date,invalid-date,25,45,XX,??,US$,high,LGD,,invalid-date,,8,all,loss,huge,,411302451,bad,2,"GRT,00X",Guarantee Corp,NA#,XX,"ENT,00X",Trust,AAA,2015-10-18,2020-01-27,218543118,50512532,21109766,99619917,bad,bad,42693668,17732379,5851671,1,Term Loan,VAL7862,Generic Text,Generic Text,104800,VAL6360,6,Generic Text,899369,925853,5,6,7,2,5.7831,0.1449,9.0447,2,Generic Text,Generic Text,416582,159200,774307,566830,761688,618908,627401,559164,722161,4577,763860,456594,170438,824960,605592,628522,450707,3,VAL3698,2019-07-15,1,630388,2,3,Generic Text,0,9.7495,609853,847600,14629,532498,336301,MMA37IFSMYR6NHYSSZRD,B7Y9SHDMTDAQEEDPTL6H
"CUST,001","OBL
001",Individual,,12345678X,XX,NAIC,GICS,"FAC,123",invalid-date,invalid-date,25,45,XX,INVALID,US$,high,LGD,,invalid-date,,8,all,loss,huge,,277197839,131142081,4,"GRT,00X",Individual,NA#,XX,"ENT,00X",Individual,BB,2024-02-01,2020-10-29,177318283,85336668,70552295,93968927,789812906,107646547,13003579,14686573,6260764,2,Term Loan,VAL4130,Generic Text,Generic Text,104460,VAL3201,6,Generic Text,679644,402133,6,0,1,3,5.8899,5.526,3.5896,1,Generic Text,Generic Text,744664,247093,117163,820809,379293,101580,800378,311719,327675,935114,779075,918773,114603,824386,929548,106880,875161,3,VAL5004,2019-07-15,1,189952,1,5,Generic Text,4,7.3133,49069,18658,16188,468609,87231,D6JB30E1BV7ER5MAJ79J,9OQ3CL6MREC24YTN0KKX
CUSTK6421L,OBLNI8OHW,Individual,BBB,12-3456789,XX1,621111,GICS,FACLSINR2,2010-01-16,corrupt,15,26,999999999,13772804,USD,0.9999,0.3159,17723643.0,2008-12-03,95.0,5,0.0298,-99999999,948654838,95937106.0,324614272,133487306,4,GRT03Z00V,Guarantee Corp,98-7654321,C,ENT18VCZ9,Trust,AAA,2011-10-24,2001-05-04,239599736,15090373,36064587,243992209,354919424,145456320,44700960,11022565,3443104,1,Term Loan,VAL3074,Generic Text,Generic Text,879314,VAL9465,0,Generic Text,850709,237262,3,9,2,4,1.0236,1.4319,0.7113,2,Generic Text,Generic Text,571404,166441,45837,327547,662681,152631,356474,209454,841660,25660,334636,88383,544124,791565,997510,587858,47567,3,VAL5432,2019-07-15,2,162196,1,0,Generic Text,4,9.0215,526270,406019,535096,870091,864293,W4ON9VG85JIIY5T0MZ2F,D8ME5IV0DXP81F93NJT9
CUSTP3MDIM,OBL91C8NQ,Individual,CCC,12-3456789,ZZ,999999,NAICS,FACHER98O,2011-04-23,1900-01-01,0,11,18301642,29796951,EUR,6.914564620213951,27.508715757640264,13147345.0,1900-01-01,170.0,3,0.4323,1376677500,132766369,82319006.0,323954252,100912708,4,GRTWJFZYA,Individual,98-7654321,AAA,ENT0A4USX,Individual,C,2016-04-27,2007-04-13,220639699,99185486,7559291,86489220,88931962100,102409483,29018020,657417384,475263,1,Term Loan,VAL2399,Generic Text,Generic Text,984462,VAL9091,7,Generic Text,125813,647694,8,7,8,6,5.174,7.5984,9.8659,1,Generic Text,Generic Text,62698,703700,782605,394647,169012,280009,638420,813877,553355,381413,785591,11178,343513,914409,494249,799548,102282,3,VAL2709,2019-07-15,1,397920,1,2,Generic Text,0,4.9117,550187,802997,51138,576380,621656,PA1JWGH09U3BOY92P1BP,SFBL9JK0VTQJ0GPY4384
"CUST,001","OBL
001",ABC Corp,,12345678X,XX,NAIC,NAICS,"FAC,123",invalid-date,invalid-date,25,45,XX,??,US$,high,LGD,,invalid-date,,bad,##,loss,huge,,bad,140656088,2,"GRT,00X",Individual,NA#,XX,"ENT,00X",Trust,BB,2023-03-21,2018-11-22,60947652,40670062,34512087,91077323,bad,bad,2976164,13358964,3341772,2,Term Loan,VAL4319,Generic Text,Generic Text,165711,VAL7767,3,Generic Text,769276,250948,5,9,6,5,1.2312,9.7293,0.1017,2,Generic Text,Generic Text,855179,227280,202816,506204,701568,841823,962601,309941,498381,280359,818375,980584,73792,400942,732349,540929,468096,1,VAL2799,2020-01-01,3,37478,1,9,Generic Text,4,5.0302,832452,314128,377297,195362,380099,ARWK75A9SGFF6KUBDQ6Q,ZNMK80RE19X20XC9E7EM
CUSTJVWUCZ,OBLDH5YSL,ABC Corp,CCC,12-3456789,ZZ,999999,NAICS,FAC7L91M9,2016-08-12,2026-03-16,10,0,999999999,43323819,USD,30.72487073003643,6.674225724367142,139791.0,1900-01-01,172.0,3,0.0335,-99999999,5877131238,97199059.0,25433579946,26229006,1,GRTPVACK5,Guarantee Corp,98-7654321,AAA,ENTBK9Q8K,Individual,C,2017-12-28,1900-01-01,160286483,67007791,68206930,145548803,216311004,199444258,10466085,12100902,445116400,2,Term Loan,VAL6989,Generic Text,Generic Text,839360,VAL8397,3,Generic Text,523596,520976,2,4,2,1,7.1384,4.0421,5.3197,1,Generic Text,Generic Text,307218,720974,806596,368781,139735,757075,82250,997213,232650,628618,352507,835091,805810,68725,78123,201855,775375,3,VAL7083,2023-12-31,2,770610,2,8,Generic Text,0,0.4498,961016,640200,855835,929944,371711,IW9RB56L7SG2FXQCUH3U,Y5C2PZ4B4ZZD98IJWYVG
"CUST,001","OBL
001",ABC Corp,,12345678X,XX,NAIC,NAICS,"FAC,123",invalid-date,invalid-date,25,45,XX,??,US$,high,LGD,,invalid-date,,8,all,loss,huge,,71156804,26358693,2,"GRT,00X",Individual,NA#,XX,"ENT,00X",Trust,AAA,2009-05-16,2004-06-07,129784919,78985316,79244411,157958729,170327547,112394746,18260672,9133986,7705348,2,Term Loan,VAL3965,Generic Text,Generic Text,144624,VAL4568,3,Generic Text,508875,139901,2,4,5,2,6.826,0.1236,1.609,2,Generic Text,Generic Text,379415,228058,862296,711954,728407,472305,978659,343842,853538,396761,34553,508219,792530,851978,622282,555850,908008,2,VAL5158,2019-07-15,3,633573,2,0,Generic Text,0,4.2076,639956,265727,945150,818442,534277,134PX5IGCZ5314SFCOTH,Q787NHMCJZJOOCY6IM7G
"CUST,001","OBL
001",ABC Corp,,12345678X,XX,NAIC,NAICS,"FAC,123",invalid-date,invalid-date,25,45,XX,??,US$,high,LGD,,invalid-date,,8,all,loss,huge,,136894215,63340515,1,"GRT,00X",Individual,NA#,XX,"ENT,00X",Entity LLC,AAA,2019-10-08,2008-08-12,214938669,34675670,73793013,208325593,154919045,85890268,26703992,14095112,3648352,1,Term Loan,VAL8362,Generic Text,Generic Text,162533,VAL9828,3,Generic Text,7056,225006,4,8,9,3,8.3586,5.8484,9.4731,2,Generic Text,Generic Text,649961,742708,693644,788128,689745,980132,253133,349743,24173,446653,516395,626382,294078,407323,876417,67435,189287,1,VAL2735,2020-01-01,1,785598,1,7,Generic Text,4,1.7831,624322,931189,770211,748714,783527,6USV7XBAYNCYILBYGJKB,3QHDFO6LPBN1B5020RWX
CUSTYTN25W,OBL81GYY2,XYZ Inc,BBB,12-3456789,DE,621111,XYZ,FACE78GGW,2011-09-28,2034-10-22,8,22,25921504,12073765,GBP,0.2276,0.7448,24294358.0,2004-06-18,142.0,bad,0.6649,-4368840,INVALID,19139452.0,351399399,87797571,1,"bad,value
",Guarantee Corp,98-7654321,BB,ENT3G6OSX,Entity LLC,AAA,2004-06-03,2010-07-11,212348624,70280666,62227706,218330955,214327782,58484430,26218200,8480127,bad,2,Term Loan,VAL1722,Generic Text,Generic Text,196849,VAL3048,7,Generic Text,523417,670758,8,9,0,2,4.0294,1.927,7.4309,2,Generic Text,Generic Text,222434,970740,17295,751455,288195,574417,641040,948969,490023,389118,927886,916754,458374,277193,401989,713702,262929,3,VAL2064,2019-07-15,3,994837,1,9,Generic Text,1,6.766,482338,123787,789068,13728,629736,4YKLLA11GUT9CIPUPW6P,N6B23ZA5A6Q7ZQNA54HF
CUSTEEK8UW,OBLFHY9W7,XYZ Inc,AAA,12-3456789,DE,541512,SIC,FACZM4LHC,2001-07-22,2031-12-24,13,16,26869841,24737112,INR,0.2431,##,15581281.0,2001-10-08,60.0,1,0.1223,11660192,929256067,54064350.0,283329569,56103607,1,GRTB5D36G,Guarantee Corp,98-7654321,BB,ENTCQKJB2,Trust,AAA,2000-09-30,2011-09-06,115246289,45984883,659005,241297180,487655436,5757145,35225104,951721,1477804,1,Term Loan,VAL2499,Generic Text,Generic Text,734456,VAL9574,7,Generic Text,576237,276213,4,4,9,2,2.4731,0.7351,2.153,1,Generic Text,Generic Text,134838,66240,18930,593279,748021,386722,497266,836612,531699,25227,289469,870475,674822,482649,799547,37024,695455,3,VAL8612,2020-01-01,2,101485,1,3,Generic Text,3,2.8689,386374,658626,254488,187764,698670,SPY2RVHXF0P4MYM45R4B,IIYW9M3HM2FMAKM6ODK1
CUST3EAAYL,OBL7WUWQI,Individual,AAA,12-3456789,US,999999,NAICS,FACT4F1ZQ,2001-04-30,2027-08-01,16,10,39795076,23722775,USD,0.2304,0.6647,24195116.0,2001-12-31,51.0,4,0.7939,4919084,46798227,75023805.0,58115213,9567783,2,GRT08ILRY,Individual,98-7654321,AAA,ENT9EBKH2,Entity LLC,BB,2022-05-01,2007-10-20,133425847,49206702,29081821,26358873,465764247,76387519,40945338,3103795,9994407,1,Term Loan,VAL4357,Generic Text,Generic Text,109570,VAL9213,7,Generic Text,93473,65497,4,3,8,9,1.532,2.2417,1.2201,1,Generic Text,Generic Text,630654,850078,224626,426971,124479,865689,677943,230418,666524,227740,134081,429160,856717,884800,425693,820439,832589,2,VAL1862,2023-12-31,3,673198,1,4,Generic Text,2,5.3872,367726,39299,18136,220489,510574,M8V8DL8BPRKEEJWJQAHE,TV25UWSR2OJJDHTBU7YM
CUST3YSLDZ,OBLOL5LG1,Individual,AAA,12-3456789,GB,621111,GICS,FACTSVJHU,2015-11-15,2027-09-22,12,10,38054185,18629390,USD,0.2244,0.4607,11695340.0,2016-04-27,76.0,3,0.9288,7464056,8077130,15470352.0,31983371,176237089,2,GRT0H7VCD,Individual,98-7654321,BB,ENTQK97NI,Trust,C,2017-05-28,2021-05-17,219500283,68208792,25194810,75258573,695382165,98342384,39409914,12148975,9182262,1,Term Loan,VAL3854,Generic Text,Generic Text,333599,VAL9249,1,Generic Text,525254,879934,4,4,3,6,6.2646,7.0978,2.7905,2,Generic Text,Generic Text,608366,403458,965164,6562,740329,993018,718645,834809,813397,666759,290154,738904,528724,930270,625997,961806,891998,1,VAL2265,2019-07-15,3,75785,1,5,Generic Text,2,8.5165,209822,294848,584109,202924,449213,Y5BDZF8RNO9I7FBN9H6X,RAHDW3DWOM6A7FLQWMFN
CUSTVUWO26,OBLT2W0BN,XYZ Inc,BBB,12-3456789,IN,621111,SIC,FAC03NCXB,2024-04-21,2029-07-04,4,19,41574619,19787639,INR,0.2332,0.258,11174708.0,2006-11-14,96.0,4,0.8398,11406304,758388327,60542898.0,219420310,115140401,1,GRT7JT46V,Individual,98-7654321,BB,ENTPABYT9,Trust,BB,2000-07-26,2013-08-15,144265694,56233944,20691059,5905196,731927328,40222230,25307611,18854787,4460049,2,Term Loan,VAL1497,Generic Text,Generic Text,927996,VAL9583,3,Generic Text,851525,389507,5,0,6,3,0.3837,4.6589,4.5313,1,Generic Text,Generic Text,144792,607211,656998,288046,138312,542351,144111,865299,848105,837464,218949,796490,106891,56369,747652,125112,113048,2,VAL1429,2019-07-15,3,580277,2,1,Generic Text,2,4.8614,633763,735892,611884,98951,437535,A46DX6FX7NSHU2HNQEYS,TS0OLQW9EYGMUAA73J55
